date,ticker,action,shares,market_price,executed_price,total
2020-04-01,SJM,buy,96.0,90.80239868164062,91.0419536885493,8740.027554100732
2020-05-01,NVDA,sell,30.0,7.042272567749023,6.788958555376499,203.66875666129496
2020-05-01,MU,sell,2.0,43.964900970458984,43.50534908459292,87.01069816918584
2020-05-01,ADBE,sell,1.0,343.8399963378906,342.93839368069746,342.93839368069746
2020-05-01,MSFT,sell,1.0,166.20367431640625,165.6914849512169,165.6914849512169
2020-05-01,GOOG,sell,4.0,65.53894805908203,65.46189228929323,261.8475691571729
2020-05-01,META,sell,3.0,200.86688232421875,200.53480029224548,601.6044008767365
2020-05-01,NFLX,sell,3.0,41.527000427246094,41.06569184255549,123.19707552766647
2020-05-01,ALSN,sell,6.0,32.40682601928711,31.407373577468242,188.44424146480947
2020-05-01,BX,sell,10.0,41.7419319152832,41.68353960393489,416.8353960393489
2020-05-01,TGTX,sell,43.0,11.260000228881836,10.769682942730405,463.09636653740745
2020-05-01,TTD,sell,56.0,27.889999389648438,27.334104670156012,1530.7098615287366
2020-05-01,NEM,sell,36.0,51.31929016113281,50.831170379750525,1829.9221336710189
2020-05-01,AEM,sell,60.0,53.38540267944336,52.571735230839884,3154.304113850393
2020-05-01,LRCX,buy,9.0,22.023822784423828,22.676265151811606,204.08638636630445
2020-05-01,ATO,buy,5.0,86.69470977783203,87.52355196538933,437.61775982694667
2020-05-01,CMS,buy,19.0,47.02781677246094,47.3640062889045,899.9161194891855
2020-05-01,ED,buy,15.0,62.64815902709961,62.767813045792145,941.5171956868821
2020-05-01,NEE,buy,12.0,49.19599533081055,49.65218715752493,595.8262458902991
2020-05-01,HRL,buy,21.0,39.322601318359375,40.28157771655519,845.913132047659
2020-05-01,XEL,buy,6.0,52.03263473510742,52.75024834389978,316.50149006339865
2020-05-01,SO,buy,4.0,43.546138763427734,44.254898131663055,177.01959252665222
2020-05-01,MO,buy,36.0,24.139137268066406,24.68475365061193,888.6511314220295
2020-05-01,HSY,buy,7.0,115.72183227539062,116.49270093168128,815.448906521769
2020-05-01,SJM,buy,5.0,95.69876861572266,95.70485217566107,478.52426087830537
2020-06-01,ATO,sell,111.0,89.69046783447266,89.1606250567653,9896.829381300948
2020-06-01,CMS,sell,206.0,49.97305679321289,49.8215893994855,10263.247416294013
2020-06-01,NEM,sell,188.0,50.89857482910156,50.52293150259317,9498.311122487516
2020-06-01,ED,sell,154.0,61.52820587158203,61.122469255869696,9412.860265403933
2020-06-01,NEE,sell,197.0,55.69802474975586,54.89358394165594,10814.03603650622
2020-06-01,AEM,sell,181.0,56.10027313232422,55.410934086181086,10029.379069598777
2020-06-01,HRL,sell,246.0,41.221221923828125,41.074492257103344,10104.325095247423
2020-06-01,XEL,sell,186.0,55.020042419433594,54.62638334025769,10160.50730128793
2020-06-01,SO,sell,222.0,46.72543716430664,45.87175248711348,10183.529052139193
2020-06-01,MO,sell,401.0,24.94780731201172,24.025425165673152,9634.195491434934
2020-06-01,HSY,sell,83.0,119.82408142089844,119.15439622518424,9889.814886690292
2020-06-01,SJM,sell,101.0,96.25804138183594,95.99196892946205,9695.188861875667
2020-06-01,NVDA,buy,1886.0,8.772330284118652,8.996216913881465,16966.865099580442
2020-06-01,LRCX,buy,666.0,25.392717361450195,26.285517287147655,17506.154513240337
2020-06-01,MU,buy,370.0,45.21378707885742,45.5887304569526,16867.83026907246
2020-06-01,ADBE,buy,40.0,389.67999267578125,389.68232417159567,15587.292966863826
2020-06-01,MSFT,buy,91.0,174.5526123046875,175.3931577580362,15960.777355981296
2020-06-01,GOOG,buy,204.0,71.05805969238281,71.61713654546914,14609.895855275703
2020-06-01,META,buy,62.0,230.30128479003906,231.28055058321237,14339.394136159168
2020-06-01,NFLX,buy,246.86454048470412,42.59199905395508,43.23575876153957,10673.375719174986
2020-07-01,NVDA,sell,12.0,9.497627258300781,8.718840509300557,104.6260861116067
2020-07-01,LRCX,sell,71.0,29.869173049926758,29.177508508906094,2071.6031041323326
2020-07-01,ADBE,sell,2.0,439.80999755859375,439.4095823194498,878.8191646388996
2020-07-01,MSFT,sell,4.0,195.43246459960938,194.54493995223257,778.1797598089303
2020-07-01,MU,buy,2.0,48.49213409423828,48.60672426491894,97.21344852983788
2020-07-01,GOOG,buy,18.0,71.36674499511719,71.71235373803,1290.8223672845402
2020-07-01,META,buy,4.0,235.90216064453125,236.15770420396618,944.6308168158647
2020-07-01,NFLX,buy,30.85388048393132,48.56399917602539,48.634449168979486,1500.561482061526
2020-08-01,NVDA,sell,139.0,10.578693389892578,9.64747929090128,1340.999621435278
2020-08-01,LRCX,sell,90.0,35.48398208618164,34.960063791408274,3146.405741226745
2020-08-01,META,sell,1.0,251.91030883789062,251.12507363058774,251.12507363058774
2020-08-01,MU,buy,20.0,48.843387603759766,49.74127196356931,994.8254392713862
2020-08-01,ADBE,buy,2.0,444.32000732421875,445.25828908716886,890.5165781743377
2020-08-01,MSFT,buy,5.0,195.72842407226562,196.19477342490757,980.9738671245378
2020-08-01,GOOG,buy,5.0,73.59602355957031,74.38178033737894,371.9089016868947
2020-08-01,NFLX,buy,30.244189905294302,48.88800048828125,49.60640885847706,1500.3056500354537
2020-09-01,NVDA,sell,351.0,13.778170585632324,13.492372594124934,4735.822780537852
2020-09-01,ADBE,sell,3.0,527.9500122070312,527.052048734592,1581.1561462037757
