date,cash,positions_value,total_value
2023-05-01,0.0,252872.47066513996,252872.47066513996
2023-06-01,0.0,286834.9223282587,286834.9223282587
2023-07-01,0.0,300621.0932694293,300621.0932694293
2023-08-01,0.0,328103.7757054328,328103.7757054328
2023-09-01,0.0,319490.5446111899,319490.5446111899
2023-10-01,0.0,300337.0113413776,300337.0113413776
2023-11-01,0.0,299104.9176688808,299104.9176688808
2023-12-01,0.0,331298.36167998076,331298.36167998076
2024-01-01,0.0,353639.60612430226,353639.60612430226
2024-02-01,0.0,374453.0665986498,374453.0665986498
2024-03-01,0.0,417230.8311020161,417230.8311020161
2024-04-01,0.0,436220.78978226264,436220.78978226264
2024-05-01,0.0,402512.6988952161,402512.6988952161
2024-06-01,0.0,441352.88908014,441352.88908014
