date,cash,positions_value,total_value
2014-09-10,100000.0,0.0,100000.0
2014-09-11,100000.0,0.0,100000.0
2014-09-12,100000.0,0.0,100000.0
2014-09-15,100000.0,0.0,100000.0
2014-09-16,100000.0,0.0,100000.0
2014-09-17,100000.0,0.0,100000.0
2014-09-18,100000.0,0.0,100000.0
2014-09-19,100000.0,0.0,100000.0
2014-09-22,100000.0,0.0,100000.0
2014-09-23,100000.0,0.0,100000.0
2014-09-24,100000.0,0.0,100000.0
2014-09-25,100000.0,0.0,100000.0
2014-09-26,100000.0,0.0,100000.0
2014-09-29,100000.0,0.0,100000.0
2014-09-30,100000.0,0.0,100000.0
2014-10-01,100000.0,0.0,100000.0
2014-10-02,100000.0,0.0,100000.0
2014-10-03,100000.0,0.0,100000.0
2014-10-06,100000.0,0.0,100000.0
2014-10-07,100000.0,0.0,100000.0
2014-10-08,100000.0,0.0,100000.0
2014-10-09,100000.0,0.0,100000.0
2014-10-10,100000.0,0.0,100000.0
2014-10-13,100000.0,0.0,100000.0
2014-10-14,100000.0,0.0,100000.0
2014-10-15,100000.0,0.0,100000.0
2014-10-16,100000.0,0.0,100000.0
2014-10-17,100000.0,0.0,100000.0
2014-10-20,100000.0,0.0,100000.0
2014-10-21,100000.0,0.0,100000.0
2014-10-22,100000.0,0.0,100000.0
2014-10-23,100000.0,0.0,100000.0
2014-10-24,100000.0,0.0,100000.0
2014-10-27,100000.0,0.0,100000.0
2014-10-28,100000.0,0.0,100000.0
2014-10-29,100000.0,0.0,100000.0
2014-10-30,100000.0,0.0,100000.0
2014-10-31,100000.0,0.0,100000.0
2014-11-03,100000.0,0.0,100000.0
2014-11-04,100000.0,0.0,100000.0
2014-11-05,100000.0,0.0,100000.0
2014-11-06,100000.0,0.0,100000.0
2014-11-07,100000.0,0.0,100000.0
2014-11-10,100000.0,0.0,100000.0
2014-11-11,100000.0,0.0,100000.0
2014-11-12,100000.0,0.0,100000.0
2014-11-13,100000.0,0.0,100000.0
2014-11-14,100000.0,0.0,100000.0
2014-11-17,100000.0,0.0,100000.0
2014-11-18,100000.0,0.0,100000.0
2014-11-19,100000.0,0.0,100000.0
2014-11-20,100000.0,0.0,100000.0
2014-11-21,100000.0,0.0,100000.0
2014-11-24,100000.0,0.0,100000.0
2014-11-25,100000.0,0.0,100000.0
2014-11-26,100000.0,0.0,100000.0
2014-11-27,100000.0,0.0,100000.0
2014-11-28,100000.0,0.0,100000.0
2014-12-01,100000.0,0.0,100000.0
2014-12-02,100000.0,0.0,100000.0
2014-12-03,100000.0,0.0,100000.0
2014-12-04,100000.0,0.0,100000.0
2014-12-05,100000.0,0.0,100000.0
2014-12-08,100000.0,0.0,100000.0
2014-12-09,100000.0,0.0,100000.0
2014-12-10,100000.0,0.0,100000.0
2014-12-11,100000.0,0.0,100000.0
2014-12-12,100000.0,0.0,100000.0
2014-12-15,100000.0,0.0,100000.0
2014-12-16,100000.0,0.0,100000.0
2014-12-17,100000.0,0.0,100000.0
2014-12-18,100000.0,0.0,100000.0
2014-12-19,100000.0,0.0,100000.0
2014-12-22,100000.0,0.0,100000.0
2014-12-23,100000.0,0.0,100000.0
2014-12-24,100000.0,0.0,100000.0
2014-12-25,100000.0,0.0,100000.0
2014-12-26,100000.0,0.0,100000.0
2014-12-29,100000.0,0.0,100000.0
2014-12-30,100000.0,0.0,100000.0
2014-12-31,100000.0,0.0,100000.0
2015-01-01,100000.0,0.0,100000.0
2015-01-02,100000.0,0.0,100000.0
2015-01-05,100000.0,0.0,100000.0
2015-01-06,100000.0,0.0,100000.0
2015-01-07,100000.0,0.0,100000.0
2015-01-08,100000.0,0.0,100000.0
2015-01-09,100000.0,0.0,100000.0
2015-01-12,100000.0,0.0,100000.0
2015-01-13,100000.0,0.0,100000.0
2015-01-14,100000.0,0.0,100000.0
2015-01-15,100000.0,0.0,100000.0
2015-01-16,100000.0,0.0,100000.0
2015-01-19,100000.0,0.0,100000.0
2015-01-20,100000.0,0.0,100000.0
2015-01-21,100000.0,0.0,100000.0
2015-01-22,100000.0,0.0,100000.0
2015-01-23,100000.0,0.0,100000.0
2015-01-26,100000.0,0.0,100000.0
2015-01-27,100000.0,0.0,100000.0
2015-01-28,100000.0,0.0,100000.0
2015-01-29,100000.0,0.0,100000.0
2015-01-30,100000.0,0.0,100000.0
2015-02-02,100000.0,0.0,100000.0
2015-02-03,100000.0,0.0,100000.0
2015-02-04,100000.0,0.0,100000.0
2015-02-05,100000.0,0.0,100000.0
2015-02-06,100000.0,0.0,100000.0
2015-02-09,100000.0,0.0,100000.0
2015-02-10,100000.0,0.0,100000.0
2015-02-11,100000.0,0.0,100000.0
2015-02-12,100000.0,0.0,100000.0
2015-02-13,100000.0,0.0,100000.0
2015-02-16,100000.0,0.0,100000.0
2015-02-17,100000.0,0.0,100000.0
2015-02-18,100000.0,0.0,100000.0
2015-02-19,100000.0,0.0,100000.0
2015-02-20,100000.0,0.0,100000.0
2015-02-23,100000.0,0.0,100000.0
2015-02-24,100000.0,0.0,100000.0
2015-02-25,100000.0,0.0,100000.0
2015-02-26,100000.0,0.0,100000.0
2015-02-27,100000.0,0.0,100000.0
