Ticker,Sector,Total Return (%),CAGR (%),Beta,Volatility (%),Sharpe,Max Drawdown (%)
HON,Industrials,264.80698125388153,11.41592475851212,0.9540029170556618,22.52745575588088,0.41797550777806125,-43.010342980440456
UPS,Industrials,71.7205049138169,4.619807272349741,0.8493528981403828,25.580459336571714,0.10241439521784781,-57.91772172527318
IBM,Technology,198.1856255067207,9.555024442247962,0.8332807220917454,24.079049312711916,0.3137592495505826,-40.58520570324083
CAT,Industrials,860.4318943343512,20.79867570587599,1.0844229656733022,29.306259761566977,0.6414559844490658,-44.63246009846726
AMGN,Health Care,307.90523914094825,12.45997721733849,0.7529666867583495,25.000556558235708,0.4183897743625533,-24.85994296510878
GE,Industrials,218.03767753592322,10.146415405245811,1.1084023615343306,33.55328165392692,0.24279042179149687,-81.19141354300726
LOW,Consumer Discretionary,618.216512560075,17.901728313518216,1.015146609943196,27.660496880014524,0.5748894671884096,-48.629212843824185
SPGI,Financials,700.333592160167,18.97267694042388,1.0456634096268225,24.986027717247534,0.6792867250646593,-39.760377637399
BA,Industrials,119.10307850005051,6.770982053980523,1.3432876521892316,38.74331429824415,0.12314336396865108,-77.92005465221095
GS,Financials,633.689482526999,18.111822328423255,1.2109176645089326,28.32692018607937,0.5687812943512669,-48.748798812191374
SBUX,Consumer Discretionary,236.3465015334073,10.662572864411679,1.003704313779014,27.968834380725255,0.3097223411777753,-43.6828990885596
BLK,Financials,421.3100971284844,14.788045466748567,1.2316707213250357,26.71768742412075,0.4786359411931554,-43.9016941448144
INTU,Technology,680.8669629165612,18.728231657071206,1.2755370279306641,30.63396383215371,0.5460681402095634,-49.0100642176417
ELV,Health Care,377.64537633232703,13.952389316245739,0.8181965832910256,29.568920480047044,0.404221362234416,-50.38193683747897
MDLZ,Consumer Staples,132.64030651891838,7.306981424206449,0.6456455236241065,21.03019372350214,0.2523505724189155,-29.741971973682023
AMD,Technology,7114.114151095237,42.95780181101736,1.6877253285602092,57.46567835852221,0.7127350269057301,-65.44994295506879
ISRG,Health Care,1026.5872783243842,22.41945104632983,1.1901857163871195,31.652071700296684,0.6451221025806798,-49.90422231080242
ADI,Technology,752.3091435730126,19.599590356211284,1.311181211128188,31.444288367170824,0.5597070651020363,-33.61995206980804
GILD,Health Care,156.9783688799845,8.202501289091014,0.6133173755543657,26.583798883547942,0.23331884642452622,-45.73975481535944
CVS,Health Care,56.81974690697722,3.8295988776715584,0.6827859872649468,27.25554049143877,0.06712759478192161,-56.78882723652045
AXP,Financials,393.638862637392,14.266304432671406,1.2339720025182126,30.10324828087178,0.4074744465521904,-49.63849843726295
LMT,Industrials,491.6016054886706,16.007228049406507,0.5903643753389406,22.387061342692157,0.6256840875624307,-36.67428703831688
BKNG,Consumer Discretionary,353.7774422230284,13.465520146583598,1.1308912295118765,31.394454885290575,0.36520844806754726,-47.77003307962167
SYK,Health Care,450.05340572136816,15.30378431067656,0.9691554412051776,24.78690183248054,0.5367263888237697,-43.80275502159519
TJX,Consumer Discretionary,519.1455007332229,16.44901489319308,0.8813817991409745,25.37135381473975,0.5695011389104029,-42.55352191533757
VRTX,Health Care,507.65815122162206,16.266999180778583,0.8869365467259795,36.48588394446486,0.39102791650859753,-49.095279320080074
MMC,Financials,421.43287795815337,14.795553448644604,0.7704604419582022,19.70753613505856,0.6492721038771588,-35.79742120044802
REGN,Health Care,165.66670905149672,8.503431448218834,0.7646719940516226,33.01486082710089,0.1969849723819028,-59.69200506040641
PLD,Real Estate,385.0950342965269,14.099788539278556,0.9590787836877589,25.762572917560473,0.4696653776778254,-43.2952428522958
ZTS,Health Care,344.78850697898366,13.276055112919538,0.903701754671226,25.9673381676854,0.43423993018090035,-51.258021962591826
NOW,Technology,828.923134925603,20.462574152054348,1.3733622597748487,39.57082736095089,0.4665703343436662,-51.297507043869054
PYPL,Financials,42.4969985244416,3.4120310465282966,1.32665948461895,37.93457654876468,0.03722279711526867,-83.66771366704297
SCHW,Financials,403.7072251655568,14.459175634027876,1.1633822952871617,32.85325431845804,0.37923718342349727,-51.07707590169692
CI,Health Care,249.69950444731833,11.023021075348893,0.7988956493585296,29.837782787721366,0.30240253237120496,-42.46809547320633
